alpha,honest_mining,classical_selfish_mining,conservative_release,gamma
0.401,0.401,0.4864321576672927,0.44441200109869355,0.0
0.402,0.402,0.4891620575385203,0.4466262588883545,0.0
0.403,0.403,0.4919109661217865,0.44885413400587537,0.0
0.404,0.404,0.49467922883481896,0.4510959425415246,0.0
0.405,0.405,0.4974672005417241,0.4533520117717074,0.0
0.406,0.406,0.5002752458694396,0.4556226806388807,0.0
0.40700000000000003,0.40700000000000003,0.5031037395370253,0.457908300256423,0.0
0.40800000000000003,0.40800000000000003,0.5059530666984001,0.4602092344400024,0.0
0.40900000000000003,0.40900000000000003,0.5088236232991764,0.46252586026706694,0.0
0.41000000000000003,0.41000000000000003,0.5117158164482634,0.4648585686662102,0.0
0.41100000000000003,0.41100000000000003,0.5146300648049673,0.46720776503829636,0.0
0.41200000000000003,0.41200000000000003,0.5175667989823398,0.4695738699113533,0.0
0.41300000000000003,0.41300000000000003,0.5205264619675802,0.4719573196313998,0.0
0.41400000000000003,0.41400000000000003,0.5235095095603362,0.4743585670915194,0.0
0.41500000000000004,0.41500000000000004,0.5265164108297975,0.4767780825016914,0.0
0.41600000000000004,0.41600000000000004,0.5295476485915342,0.4792163542020382,0.0
0.41700000000000004,0.41700000000000004,0.5326037199050727,0.4816738895223991,0.0
0.418,0.418,0.5356851365932788,0.4841512156913124,0.0
0.419,0.419,0.5387924257846639,0.4866488807977737,0.0
0.42,0.42,0.5419261304798068,0.48916745480936835,0.0
0.421,0.421,0.5450868101431471,0.491707530650668,0.0
0.422,0.422,0.5482750413214948,0.4942697253461076,0.0
0.423,0.423,0.5514914182906592,0.49685468123187304,0.0
0.424,0.424,0.5547365537317168,0.49946306724171485,0.0
0.425,0.425,0.5580110794384983,0.5020955802720091,0.0
0.426,0.426,0.5613156470580043,0.504752946631808,0.0
0.427,0.427,0.5646509288655372,0.5074359235841401,0.0
0.428,0.428,0.5680176185764765,0.5101453009853021,0.0
0.429,0.429,0.5714164321967192,0.5128819030295209,0.0
0.43,0.43,0.5748481089139708,0.5156465901069403,0.0
